Date,Open,High,Low,Close,Adj Close,Volume
2016-02-11,40.750000,41.250000,40.250000,40.750000,35.866364,16887800
2016-02-12,40.500000,41.000000,40.000000,40.250000,35.426289,32043900
2016-02-15,40.750000,41.000000,40.250000,41.000000,36.086407,7766100
2016-02-16,41.000000,41.000000,40.500000,40.500000,35.646328,7585900
2016-02-17,40.500000,41.000000,40.250000,41.000000,36.086407,23067600
2016-02-18,40.750000,41.000000,40.500000,40.750000,35.866364,19989900
2016-02-19,41.000000,43.000000,41.000000,43.000000,37.846725,38647500
2016-02-23,43.000000,43.500000,42.500000,42.750000,37.626686,35516300
2016-02-24,42.500000,42.750000,42.250000,42.500000,37.406643,11153100
2016-02-25,42.750000,44.000000,42.500000,44.000000,38.726875,28736800
2016-02-26,44.250000,44.750000,44.000000,44.500000,39.166958,17547900
2016-02-29,44.500000,45.000000,43.250000,43.250000,38.066761,29269800
2016-03-01,44.500000,45.000000,44.000000,44.750000,39.386997,36272200
2016-03-02,45.500000,47.000000,45.000000,46.250000,40.707233,39189600
2016-03-03,46.250000,48.750000,46.250000,47.750000,42.027462,37463200
2016-03-04,48.000000,48.500000,46.250000,47.500000,41.807423,29494600
2016-03-07,47.250000,47.500000,46.250000,47.000000,41.367355,21377400
2016-03-08,46.250000,47.250000,45.250000,45.750000,40.267155,24661600
2016-03-09,45.250000,46.500000,45.250000,46.500000,40.927273,28943100
2016-03-10,46.000000,46.250000,45.000000,45.250000,39.827072,17318400
2016-03-11,45.500000,46.250000,45.250000,46.000000,40.487190,32140100
2016-03-14,46.250000,46.750000,45.750000,46.250000,40.707233,20685200
2016-03-15,46.250000,46.500000,45.500000,45.500000,40.047119,21997300
2016-03-16,45.500000,46.000000,44.000000,44.250000,38.946922,32851600
2016-03-17,44.500000,45.500000,44.500000,45.250000,39.827072,29506000
2016-03-18,45.500000,45.750000,45.000000,45.250000,39.827072,24744800
2016-03-21,45.500000,45.750000,44.750000,45.500000,40.047119,13788900
2016-03-22,46.000000,46.000000,44.250000,44.750000,39.386997,35830600
2016-03-23,44.750000,46.000000,44.500000,46.000000,40.487190,18928400
2016-03-24,45.750000,46.000000,45.500000,45.500000,40.047119,16966400
2016-03-25,45.500000,45.750000,44.500000,44.500000,39.166958,15056600
2016-03-28,44.500000,45.000000,44.250000,44.750000,39.386997,9956300
2016-03-29,45.000000,45.250000,43.500000,44.000000,38.726875,35025700
2016-03-30,44.750000,45.750000,44.500000,45.750000,40.267155,35651700
2016-03-31,45.500000,46.000000,45.250000,45.750000,40.267155,25114500
2016-04-01,45.750000,46.000000,45.500000,45.750000,40.267155,17120400
2016-04-04,45.750000,46.250000,45.250000,45.750000,40.267155,14999000
2016-04-05,45.250000,45.500000,44.500000,44.750000,39.386997,44189000
2016-04-07,44.750000,45.500000,44.500000,44.500000,39.166958,19448200
2016-04-08,44.750000,44.750000,43.750000,44.500000,39.166958,25953400
2016-04-11,44.500000,44.750000,43.750000,43.750000,38.506840,20659900
2016-04-12,44.000000,44.500000,43.750000,44.250000,38.946922,24312400
2016-04-18,44.750000,45.750000,44.500000,45.250000,39.827072,41756200
2016-04-19,45.500000,46.250000,45.500000,46.000000,40.487190,33719300
2016-04-20,46.000000,46.250000,45.750000,46.000000,40.487190,27696600
2016-04-21,46.250000,46.750000,45.750000,46.250000,40.707233,27968500
2016-04-22,46.000000,46.250000,45.750000,46.000000,40.487190,18909100
2016-04-25,46.000000,46.250000,45.750000,46.000000,40.487190,13338400
2016-04-26,45.750000,46.500000,45.500000,46.000000,40.487190,19481400
2016-04-27,46.000000,46.250000,45.500000,46.250000,40.707233,21919500
2016-04-28,45.750000,45.750000,45.000000,45.500000,40.841881,17331100
2016-04-29,45.750000,45.750000,45.250000,45.750000,41.066284,6158000
